# mesh name: mesh_x
# mesh half-size: (25,0.5,0.5) [cm] 
# mesh center: (0,0,1.4) [cm] 
# mesh segments: 500 1 1
# primitive scorer name: dose
# mesh dx dy dz: 0.1 1 1
# iX, iY, iZ, X [cm], Y [cm], Z [cm], total(value) [Gy], total(val^2), entry
0,0,0,-25,-0.5,0.9,8.047366602207338e-11,1.122691373483776e-21,6
1,0,0,-24.9,-0.5,0.9,1.033942254308979e-10,2.049183888597581e-21,8
2,0,0,-24.8,-0.5,0.9,9.43285016823811e-11,2.176121953321201e-21,6
3,0,0,-24.7,-0.5,0.9,7.366256132022003e-11,1.927177776210601e-21,4
4,0,0,-24.59999999999999,-0.5,0.9,5.972585201791131e-11,1.204750815424061e-21,3
5,0,0,-24.49999999999999,-0.5,0.9,3.840256998908576e-11,7.15784736326856e-22,3
6,0,0,-24.39999999999999,-0.5,0.9,3.226583706402366e-11,4.013288665432344e-22,3
7,0,0,-24.29999999999999,-0.5,0.9,2.482618687041178e-11,3.459804715399251e-22,2
8,0,0,-24.19999999999999,-0.5,0.9,1.017793095629759e-11,6.950948166346374e-23,2
9,0,0,-24.09999999999999,-0.5,0.9,8.065065475450913e-12,6.504528112331025e-23,1
10,0,0,-23.99999999999999,-0.5,0.9,2.22166035649637e-11,9.499792945450739e-23,19
11,0,0,-23.89999999999998,-0.5,0.9,1.267116308990501e-11,4.675397910919035e-23,16
12,0,0,-23.79999999999998,-0.5,0.9,1.307904112660292e-11,6.746227445401952e-23,13
13,0,0,-23.69999999999998,-0.5,0.9,3.555723645424467e-11,1.487026687145268e-22,32
14,0,0,-23.59999999999998,-0.5,0.9,3.395618479714876e-11,1.559520031817333e-22,31
15,0,0,-23.49999999999998,-0.5,0.9,3.106977107364245e-11,5.672265288205868e-22,27
16,0,0,-23.39999999999998,-0.5,0.9,8.046216630658113e-12,1.311024257305741e-23,22
17,0,0,-23.29999999999998,-0.5,0.9,1.551214350447165e-11,1.068643953283746e-22,19
18,0,0,-23.19999999999997,-0.5,0.9,3.298101150205713e-11,2.208160535592433e-22,26
19,0,0,-23.09999999999997,-0.5,0.9,2.436758192195111e-11,1.028292954271337e-22,23
20,0,0,-22.99999999999997,-0.5,0.9,2.445293655556501e-11,1.212134037408989e-22,28
21,0,0,-22.89999999999997,-0.5,0.9,2.032166491384131e-11,5.880640574203585e-23,22
