# mesh name: mesh_y
# mesh half-size: (0.5,25,0.5) [cm] 
# mesh center: (0,0,1.4) [cm] 
# mesh segments: 1 500 1
# primitive scorer name: dose
# mesh dx dy dz: 1 0.1 1
# iX, iY, iZ, X [cm], Y [cm], Z [cm], total(value) [Gy], total(val^2), entry
0,0,0,-0.5,-25,0.9,1.888367854307026e-10,6.451702350509521e-21,11
0,1,0,-0.5,-24.9,0.9,1.927639502804733e-10,6.977743081822502e-21,9
0,2,0,-0.5,-24.8,0.9,1.497653310759232e-10,6.066081305100692e-21,9
0,3,0,-0.5,-24.7,0.9,8.074785589392858e-11,2.492538853043094e-21,5
0,4,0,-0.5,-24.59999999999999,0.9,3.30482258259407e-11,3.101418166680321e-22,5
0,5,0,-0.5,-24.49999999999999,0.9,4.870331022515751e-11,6.028702421737276e-22,5
0,6,0,-0.5,-24.39999999999999,0.9,4.318017700040693e-11,5.827608539584003e-22,4
0,7,0,-0.5,-24.29999999999999,0.9,3.593089939435109e-11,4.453545297831634e-22,4
0,8,0,-0.5,-24.19999999999999,0.9,1.296295610947505e-10,5.133698684961629e-21,4
0,9,0,-0.5,-24.09999999999999,0.9,1.249166608285258e-10,5.827199683225975e-21,4
0,10,0,-0.5,-23.99999999999999,0.9,5.978039038913702e-11,2.743483640745334e-22,29
0,11,0,-0.5,-23.89999999999998,0.9,1.037775005971905e-10,7.906828410560615e-22,28
0,12,0,-0.5,-23.79999999999998,0.9,1.41742616093817e-10,9.420123521594789e-22,52
0,13,0,-0.5,-23.69999999999998,0.9,1.196798767551685e-10,1.036292799861185e-21,35
0,14,0,-0.5,-23.59999999999998,0.9,9.288585348511508e-11,8.76930826123983e-22,29
0,15,0,-0.5,-23.49999999999998,0.9,9.294005757377952e-11,7.511690150942191e-22,47
0,16,0,-0.5,-23.39999999999998,0.9,9.09618500543579e-11,7.043564065206459e-22,40
0,17,0,-0.5,-23.29999999999998,0.9,4.869529088513709e-11,1.919279965637327e-22,37
0,18,0,-0.5,-23.19999999999997,0.9,7.007451950740082e-11,5.104363115820635e-22,36
0,19,0,-0.5,-23.09999999999997,0.9,9.047431768277787e-11,5.8567062870413e-22,35
0,20,0,-0.5,-22.99999999999997,0.9,9.932873254601388e-11,1.001681468504736e-21,41
0,21,0,-0.5,-22.89999999999997,0.9,1.006771576793041e-10,7.6160515650509e-22,41
0,22,0,-0.5,-22.79999999999997,0.9,6.289458724963477e-11,2.493496526580078e-22,36
0,23,0,-0.5,-22.69999999999997,0.9,9.046145513580502e-11,4.553718513977502e-22,44
0,24,0,-0.5,-22.59999999999997,0.9,1.022680559464061e-10,6.493408450207074e-22,51
0,25,0,-0.5,-22.49999999999996,0.9,1.165490880346874e-10,7.526255066044705e-22,45
0,26,0,-0.5,-22.39999999999996,0.9,1.169782449475133e-10,1.373431164851219e-21,50
0,27,0,-0.5,-22.29999999999996,0.9,1.183874573953998e-10,8.768185171265709e-22,36
0,28,0,-0.5,-22.19999999999996,0.9,1.052675097395155e-10,7.976281993459317e-22,47
0,29,0,-0.5,-22.09999999999996,0.9,1.2110932685647e-10,7.861088857550974e-22,52
0,30,0,-0.5,-21.99999999999996,0.9,1.696051484545872e-10,1.244255006184416e-21,57
0,31,0,-0.5,-21.89999999999996,0.9,1.432055138930996e-10,1.154476297546219e-21,58
0,32,0,-0.5,-21.79999999999995,0.9,1.48340189754127e-10,1.031169531092238e-21,63
0,33,0,-0.5,-21.69999999999995,0.9,2.065412443990105e-10,1.746439857869287e-21,63
0,34,0,-0.5,-21.59999999999995,0.9,1.534659471822394e-10,9.940651677585607e-22,58
0,35,0,-0.5,-21.49999999999995,0.9,2.273748028359301e-10,1.880107257950513e-21,71
0,36,0,-0.5,-21.39999999999995,0.9,2.2507652149253e-10,1.698504673905396e-21,79
0,37,0,-0.5,-21.29999999999995,0.9,1.968339266712e-10,1.616427166213509e-21,76
0,38,0,-0.5,-21.19999999999995,0.9,2.373374990773168e-10,1.9270543952525e-21,76
0,39,0,-0.5,-21.09999999999994,0.9,2.94176364333429e-10,3.968879746478809e-21,78
0,40,0,-0.5,-20.99999999999994,0.9,2.804050576248498e-10,2.666463654875906e-21,73
0,41,0,-0.5,-20.89999999999994,0.9,3.031244542832865e-10,2.453335559394588e-21,88
0,42,0,-0.5,-20.79999999999994,0.9,3.596992547875729e-10,4.269735660340235e-21,98
0,43,0,-0.5,-20.69999999999994,0.9,3.203516673607292e-10,2.871133561524918e-21,93
0,44,0,-0.5,-20.59999999999994,0.9,4.114360697283617e-10,3.934995473569649e-21,104
0,45,0,-0.5,-20.49999999999994,0.9,5.099272727266046e-10,5.451610394225457e-21,101
0,46,0,-0.5,-20.39999999999993,0.9,5.925220121305062e-10,6.913599022697009e-21,119
0,47,0,-0.5,-20.29999999999993,0.9,4.477369759283712e-10,4.51764211564476e-21,111
0,48,0,-0.5,-20.19999999999993,0.9,5.095685623927554e-10,4.223773083091489e-21,132
0,49,0,-0.5,-20.09999999999993,0.9,4.546237701094646e-10,4.528630343784631e-21,117
0,50,0,-0.5,-19.99999999999993,0.9,4.47006269335784e-10,3.980118713622644e-21,118
0,51,0,-0.5,-19.89999999999993,0.9,4.166310550910202e-10,3.739044198328478e-21,121
0,52,0,-0.5,-19.79999999999993,0.9,3.654689468901061e-10,2.708645995246488e-21,113
0,53,0,-0.5,-19.69999999999992,0.9,4.62391459613721e-10,3.832261928382469e-21,117
0,54,0,-0.5,-19.59999999999992,0.9,4.002605962002229e-10,2.779597066482766e-21,121
0,55,0,-0.5,-19.49999999999992,0.9,5.198136611113754e-10,4.981273936720108e-21,142
0,56,0,-0.5,-19.39999999999992,0.9,5.428837222618421e-10,5.297968570619852e-21,142
0,57,0,-0.5,-19.29999999999992,0.9,5.102195917778332e-10,4.525743388797957e-21,148
0,58,0,-0.5,-19.19999999999992,0.9,4.827821658009508e-10,4.172814956780543e-21,124
0,59,0,-0.5,-19.09999999999992,0.9,4.853907284492289e-10,4.595477960919909e-21,132
0,60,0,-0.5,-18.99999999999991,0.9,5.82016044346679e-10,7.210157437916272e-21,139
0,61,0,-0.5,-18.89999999999991,0.9,5.231127668872519e-10,4.74383108669311e-21,133
0,62,0,-0.5,-18.79999999999991,0.9,5.02204272052269e-10,4.582316666097436e-21,137
0,63,0,-0.5,-18.69999999999991,0.9,5.198203914672493e-10,5.654444660753755e-21,136
0,64,0,-0.5,-18.59999999999991,0.9,6.567030323058609e-10,7.047108035394264e-21,155
0,65,0,-0.5,-18.49999999999991,0.9,5.964737626999205e-10,7.243261850941915e-21,134
0,66,0,-0.5,-18.39999999999991,0.9,5.740100620632084e-10,4.904350396362999e-21,143
0,67,0,-0.5,-18.2999999999999,0.9,5.323466588944638e-10,4.787453094425169e-21,140
0,68,0,-0.5,-18.1999999999999,0.9,4.711180883475253e-10,4.09383790386313e-21,124
0,69,0,-0.5,-18.0999999999999,0.9,5.120441219623219e-10,4.367716603365865e-21,153
0,70,0,-0.5,-17.9999999999999,0.9,6.085812405828794e-10,5.320497735153357e-21,141
0,71,0,-0.5,-17.8999999999999,0.9,5.201639288524401e-10,4.536368415479783e-21,150
0,72,0,-0.5,-17.7999999999999,0.9,5.735935909880394e-10,6.086818928357661e-21,163
0,73,0,-0.5,-17.6999999999999,0.9,7.137882613968604e-10,7.734804363999725e-21,158
0,74,0,-0.5,-17.59999999999989,0.9,5.844382047250493e-10,6.258649110798762e-21,137
0,75,0,-0.5,-17.49999999999989,0.9,4.97452341623134e-10,5.425127287954048e-21,155
0,76,0,-0.5,-17.39999999999989,0.9,5.227678753319789e-10,5.494806920239817e-21,138
0,77,0,-0.5,-17.29999999999989,0.9,5.636911781383703e-10,5.666632575286496e-21,142
0,78,0,-0.5,-17.19999999999989,0.9,6.174741328349396e-10,6.550916552529039e-21,154
0,79,0,-0.5,-17.09999999999989,0.9,4.791242560644223e-10,3.663246143473449e-21,161
0,80,0,-0.5,-16.99999999999989,0.9,3.957903628247844e-10,2.540587117875616e-21,140
0,81,0,-0.5,-16.89999999999988,0.9,5.513844335107627e-10,6.118232783407659e-21,141
0,82,0,-0.5,-16.79999999999988,0.9,4.313281428130434e-10,3.227385093730499e-21,131
0,83,0,-0.5,-16.69999999999988,0.9,5.31576198345884e-10,5.222794072690449e-21,154
0,84,0,-0.5,-16.59999999999988,0.9,5.93532529129381e-10,6.429046053680988e-21,148
0,85,0,-0.5,-16.49999999999988,0.9,5.565255501378707e-10,4.612826816426827e-21,182
0,86,0,-0.5,-16.39999999999988,0.9,5.439866006225041e-10,5.741225560400879e-21,139
0,87,0,-0.5,-16.29999999999988,0.9,4.915258079114996e-10,4.830601673987001e-21,150
0,88,0,-0.5,-16.19999999999987,0.9,6.227023904514318e-10,7.901367735270692e-21,176
0,89,0,-0.5,-16.09999999999987,0.9,5.791464120949285e-10,5.302328075794682e-21,153
0,90,0,-0.5,-15.99999999999987,0.9,5.813625679572737e-10,5.005194032155758e-21,173
0,91,0,-0.5,-15.89999999999987,0.9,5.854488934160723e-10,5.276533246112058e-21,178
0,92,0,-0.5,-15.79999999999987,0.9,6.792262045986546e-10,7.302416445221277e-21,178
0,93,0,-0.5,-15.69999999999987,0.9,7.394179087877395e-10,6.404509586604553e-21,190
0,94,0,-0.5,-15.59999999999988,0.9,7.057202842193538e-10,7.069666836101644e-21,191
0,95,0,-0.5,-15.49999999999988,0.9,5.803899749862765e-10,5.059719801321737e-21,173
0,96,0,-0.5,-15.39999999999988,0.9,5.285876376505399e-10,3.98352547807405e-21,193
0,97,0,-0.5,-15.29999999999988,0.9,4.199744838523442e-10,2.945279419005362e-21,170
0,98,0,-0.5,-15.19999999999988,0.9,4.527615582572369e-10,3.914682782536834e-21,158
0,99,0,-0.5,-15.09999999999988,0.9,6.47690576496261e-10,6.976657752715391e-21,176
0,100,0,-0.5,-14.99999999999988,0.9,5.331392685768573e-10,4.262052990553426e-21,169
0,101,0,-0.5,-14.89999999999988,0.9,5.15612074845192e-10,4.572758141141755e-21,169
0,102,0,-0.5,-14.79999999999988,0.9,4.4082560684246e-10,3.671082688742308e-21,147
0,103,0,-0.5,-14.69999999999988,0.9,5.264648471122991e-10,5.078390449927289e-21,165
0,104,0,-0.5,-14.59999999999988,0.9,5.779711462280485e-10,4.961350560836543e-21,180
0,105,0,-0.5,-14.49999999999988,0.9,7.033385954186923e-10,7.537277572635514e-21,179
0,106,0,-0.5,-14.39999999999988,0.9,5.257992037264298e-10,5.059605348219463e-21,167
0,107,0,-0.5,-14.29999999999988,0.9,5.644994862236105e-10,5.550921962244569e-21,176
0,108,0,-0.5,-14.19999999999988,0.9,5.45433736275445e-10,5.453553648712908e-21,170
0,109,0,-0.5,-14.09999999999988,0.9,4.601137434182915e-10,3.474733452840024e-21,184
0,110,0,-0.5,-13.99999999999988,0.9,5.324829998316146e-10,4.310123928332705e-21,187
0,111,0,-0.5,-13.89999999999988,0.9,6.697729591214602e-10,5.62507992057892e-21,208
0,112,0,-0.5,-13.79999999999988,0.9,6.020028173358725e-10,4.82868640222179e-21,193
0,113,0,-0.5,-13.69999999999988,0.9,6.754538121996007e-10,7.157869943210068e-21,183
0,114,0,-0.5,-13.59999999999988,0.9,4.429185422595564e-10,2.66691565057907e-21,191
0,115,0,-0.5,-13.49999999999988,0.9,5.687830769892693e-10,4.757659346284509e-21,199
0,116,0,-0.5,-13.39999999999988,0.9,5.225636520866501e-10,4.693289111047455e-21,190
0,117,0,-0.5,-13.29999999999988,0.9,5.67310112445643e-10,5.382418053974455e-21,187
0,118,0,-0.5,-13.19999999999988,0.9,5.125856952987302e-10,4.958862501854132e-21,188
0,119,0,-0.5,-13.09999999999988,0.9,5.87530166131157e-10,4.959535071339514e-21,198
0,120,0,-0.5,-12.99999999999988,0.9,5.977235285329635e-10,6.204710352656243e-21,193
0,121,0,-0.5,-12.89999999999988,0.9,5.624689665414919e-10,4.800030379409099e-21,192
0,122,0,-0.5,-12.79999999999989,0.9,5.668587110312376e-10,5.393215911114775e-21,215
0,123,0,-0.5,-12.69999999999989,0.9,6.719183096005643e-10,5.749280723324587e-21,218
0,124,0,-0.5,-12.59999999999989,0.9,7.79915877021358e-10,8.226790082058646e-21,225
0,125,0,-0.5,-12.49999999999989,0.9,5.995423828317951e-10,4.980010797106958e-21,220
0,126,0,-0.5,-12.39999999999989,0.9,6.222056287124402e-10,6.349763907150543e-21,208
0,127,0,-0.5,-12.29999999999989,0.9,5.56354490756678e-10,4.409177664983055e-21,201
0,128,0,-0.5,-12.19999999999989,0.9,6.685823706559549e-10,5.791540677320489e-21,225
0,129,0,-0.5,-12.09999999999989,0.9,6.896052476851827e-10,6.860625425614243e-21,240
0,130,0,-0.5,-11.99999999999989,0.9,7.25840560594267e-10,7.381741179727652e-21,225
0,131,0,-0.5,-11.89999999999989,0.9,7.301436192446065e-10,7.584674148217708e-21,240
0,132,0,-0.5,-11.79999999999989,0.9,6.582760106560008e-10,6.867439604518079e-21,228
0,133,0,-0.5,-11.69999999999989,0.9,7.108866489113642e-10,7.25314865242823e-21,231
0,134,0,-0.5,-11.59999999999989,0.9,6.395449371684295e-10,5.367042547974541e-21,220
0,135,0,-0.5,-11.49999999999989,0.9,6.615755647383746e-10,5.720893575133074e-21,245
0,136,0,-0.5,-11.39999999999989,0.9,7.089303121133602e-10,6.911313968735148e-21,266
0,137,0,-0.5,-11.29999999999989,0.9,7.032717579102577e-10,6.172136233147575e-21,239
0,138,0,-0.5,-11.19999999999989,0.9,6.15033782581967e-10,6.421877214677401e-21,226
0,139,0,-0.5,-11.09999999999989,0.9,7.320643694457403e-10,6.743411815897554e-21,279
0,140,0,-0.5,-10.99999999999989,0.9,8.164772636760157e-10,7.008061539042898e-21,279
0,141,0,-0.5,-10.89999999999989,0.9,9.777216330590932e-10,1.154771216113589e-20,278
0,142,0,-0.5,-10.79999999999989,0.9,8.462026592008068e-10,1.115440086830869e-20,248
0,143,0,-0.5,-10.69999999999989,0.9,7.150410860077027e-10,6.48301878930002e-21,285
0,144,0,-0.5,-10.59999999999989,0.9,7.635105489257492e-10,6.474136061079606e-21,276
0,145,0,-0.5,-10.49999999999989,0.9,6.992264748949483e-10,5.776227538465712e-21,260
0,146,0,-0.5,-10.39999999999989,0.9,8.259140382716182e-10,8.649390089430754e-21,279
0,147,0,-0.5,-10.29999999999989,0.9,8.021203968147503e-10,8.631528462503645e-21,301
0,148,0,-0.5,-10.19999999999989,0.9,8.908975095184816e-10,8.879551511071009e-21,297
0,149,0,-0.5,-10.09999999999989,0.9,8.016583474014517e-10,7.177220719760412e-21,307
0,150,0,-0.5,-9.999999999999895,0.9,7.336213476397039e-10,6.244184497158716e-21,279
0,151,0,-0.5,-9.899999999999896,0.9,8.510611538009443e-10,8.287660804386207e-21,298
0,152,0,-0.5,-9.799999999999896,0.9,8.01503651343483e-10,7.704581592924553e-21,290
0,153,0,-0.5,-9.699999999999896,0.9,6.130732115169389e-10,5.159784578148489e-21,269
0,154,0,-0.5,-9.599999999999897,0.9,6.15567285317691e-10,4.994317493645242e-21,275
0,155,0,-0.5,-9.499999999999897,0.9,8.504175804271264e-10,8.357126261446476e-21,337
0,156,0,-0.5,-9.399999999999897,0.9,6.480255608268366e-10,5.308992455365647e-21,286
0,157,0,-0.5,-9.299999999999898,0.9,7.913937008658725e-10,7.392630201198081e-21,300
0,158,0,-0.5,-9.199999999999898,0.9,7.889818666878763e-10,6.890579225754577e-21,309
0,159,0,-0.5,-9.099999999999898,0.9,8.67161815955212e-10,7.865849290610702e-21,326
0,160,0,-0.5,-8.999999999999899,0.9,8.332853161524969e-10,7.349498744667647e-21,313
0,161,0,-0.5,-8.899999999999899,0.9,8.947843620788022e-10,1.133573020138926e-20,343
0,162,0,-0.5,-8.799999999999899,0.9,8.248375705574529e-10,7.900389363571786e-21,337
0,163,0,-0.5,-8.6999999999999,0.9,8.497824715183802e-10,7.402600330928546e-21,343
0,164,0,-0.5,-8.5999999999999,0.9,8.394973492869336e-10,8.543498256919905e-21,365
0,165,0,-0.5,-8.499999999999901,0.9,8.335067199424185e-10,7.439934140912033e-21,344
0,166,0,-0.5,-8.399999999999901,0.9,8.33262084617819e-10,8.523976527232133e-21,338
0,167,0,-0.5,-8.299999999999901,0.9,8.597205317980025e-10,8.745314528005927e-21,358
0,168,0,-0.5,-8.199999999999902,0.9,8.754304533488223e-10,7.200542865884513e-21,358
0,169,0,-0.5,-8.099999999999902,0.9,8.489990133388232e-10,7.720976308494388e-21,343
0,170,0,-0.5,-7.999999999999902,0.9,1.019211676061534e-09,9.683129608725588e-21,407
0,171,0,-0.5,-7.899999999999903,0.9,8.749130530950474e-10,6.922775244367651e-21,395
0,172,0,-0.5,-7.799999999999903,0.9,1.007256973961213e-09,8.772704347828369e-21,376
