# mesh name: mesh_z
# mesh half-size: (2,2,17.5) [cm] 
# mesh center: (0,0,17.5) [cm] 
# mesh segments: 1 1 205
# primitive scorer name: dose
# mesh dx dy dz: 4 4 0.170732
# iX, iY, iZ, X [cm], Y [cm], Z [cm], total(value) [Gy], total(val^2), entry
0,0,0,-2,-2,0,1.854286233134342e-08,4.052171602772576e-21,172094
0,0,1,-2,-2,0.1707317073170732,3.50199120678033e-08,1.007757754370425e-20,234360
0,0,2,-2,-2,0.3414634146341464,4.336928190753791e-08,1.367453478073743e-20,261307
0,0,3,-2,-2,0.5121951219512195,4.827262471192101e-08,1.578171235070466e-20,277687
0,0,4,-2,-2,0.6829268292682927,5.143145090552159e-08,1.73313971924069e-20,286528
0,0,5,-2,-2,0.8536585365853659,5.337261834767886e-08,1.826830189728205e-20,292281
0,0,6,-2,-2,1.024390243902439,5.43240058490682e-08,1.875901475726741e-20,295370
0,0,7,-2,-2,1.195121951219512,5.46718954810926e-08,1.903475893892607e-20,295196
0,0,8,-2,-2,1.365853658536585,5.472520882124409e-08,1.903980773467381e-20,295055
0,0,9,-2,-2,1.536585365853658,5.434252937784403e-08,1.897226218271194e-20,292184
0,0,10,-2,-2,1.707317073170731,5.418720714623209e-08,1.889077989276744e-20,291927
0,0,11,-2,-2,1.878048780487805,5.390648927675149e-08,1.880025794614449e-20,290635
0,0,12,-2,-2,2.048780487804878,5.332804793954949e-08,1.856843682699193e-20,287766
0,0,13,-2,-2,2.219512195121951,5.297973492172901e-08,1.859386656872213e-20,285723
0,0,14,-2,-2,2.390243902439024,5.232895258090534e-08,1.830846889240554e-20,283183
0,0,15,-2,-2,2.560975609756098,5.189989262379467e-08,1.815809939760091e-20,281164
0,0,16,-2,-2,2.731707317073171,5.149866369921644e-08,1.790861645352671e-20,279032
0,0,17,-2,-2,2.902439024390244,5.109516172977557e-08,1.79865679082338e-20,276262
0,0,18,-2,-2,3.073170731707318,5.076632979567313e-08,1.785438727152601e-20,274445
0,0,19,-2,-2,3.243902439024391,5.016737852554662e-08,1.754435822323453e-20,271693
0,0,20,-2,-2,3.414634146341464,4.99108489925608e-08,1.751979425689285e-20,270212
0,0,21,-2,-2,3.585365853658538,4.922367120188251e-08,1.724954335359431e-20,267006
0,0,22,-2,-2,3.756097560975611,4.890354652726475e-08,1.71948350341825e-20,264822
0,0,23,-2,-2,3.926829268292684,4.834879429656727e-08,1.688646468491332e-20,262282
0,0,24,-2,-2,4.097560975609757,4.785893933435455e-08,1.673456722718657e-20,259845
0,0,25,-2,-2,4.26829268292683,4.732256375432757e-08,1.657470775531844e-20,257255
0,0,26,-2,-2,4.439024390243904,4.669805155770872e-08,1.630358314972343e-20,254138
0,0,27,-2,-2,4.609756097560977,4.630371865677156e-08,1.624895556751195e-20,251296
0,0,28,-2,-2,4.78048780487805,4.578635398052552e-08,1.606447805092887e-20,249013
0,0,29,-2,-2,4.951219512195124,4.547954565574721e-08,1.594157302728447e-20,246829
0,0,30,-2,-2,5.121951219512197,4.51393570994112e-08,1.58082457001638e-20,245100
0,0,31,-2,-2,5.29268292682927,4.470831881766759e-08,1.5742322166877e-20,242081
0,0,32,-2,-2,5.463414634146344,4.416975549089141e-08,1.552832425132739e-20,239755
0,0,33,-2,-2,5.634146341463417,4.364616097541844e-08,1.526771219191792e-20,237313
0,0,34,-2,-2,5.80487804878049,4.312325050353111e-08,1.50479594589602e-20,234559
0,0,35,-2,-2,5.975609756097564,4.269707288392414e-08,1.492276386111679e-20,231835
0,0,36,-2,-2,6.146341463414637,4.230456068362529e-08,1.486349147708757e-20,229721
0,0,37,-2,-2,6.31707317073171,4.19781240541289e-08,1.477399945684668e-20,227692
0,0,38,-2,-2,6.487804878048784,4.152914414768388e-08,1.451945246983776e-20,225812
0,0,39,-2,-2,6.658536585365857,4.126772480014435e-08,1.447320547625208e-20,223415
0,0,40,-2,-2,6.82926829268293,4.070458502711424e-08,1.424202614349503e-20,220849
0,0,41,-2,-2,7.000000000000004,4.014764504091162e-08,1.406593581578184e-20,218120
0,0,42,-2,-2,7.170731707317077,3.976898597379564e-08,1.401564555239489e-20,215129
0,0,43,-2,-2,7.34146341463415,3.929111361787365e-08,1.374851519590555e-20,213925
0,0,44,-2,-2,7.512195121951224,3.892339380044637e-08,1.359885942564403e-20,211159
0,0,45,-2,-2,7.682926829268297,3.840788501890255e-08,1.342116605101953e-20,209018
0,0,46,-2,-2,7.85365853658537,3.827747485317616e-08,1.345547648595446e-20,207064
0,0,47,-2,-2,8.024390243902443,3.778244207248363e-08,1.329189266556523e-20,204903
0,0,48,-2,-2,8.195121951219516,3.73318613085722e-08,1.310764553897803e-20,202011
0,0,49,-2,-2,8.365853658536588,3.71033196500905e-08,1.309147367341448e-20,200086
0,0,50,-2,-2,8.536585365853661,3.664040032764752e-08,1.289698505919907e-20,197848
0,0,51,-2,-2,8.707317073170733,3.614062452597014e-08,1.264302621573968e-20,196088
0,0,52,-2,-2,8.878048780487806,3.588341875486942e-08,1.260871697457368e-20,194105
0,0,53,-2,-2,9.048780487804878,3.53029098835137e-08,1.237125195496481e-20,191569
0,0,54,-2,-2,9.219512195121951,3.536082318066208e-08,1.247521452666738e-20,190820
