# PRIMO
# version: 0.3.1.1772
# Project ID: Kalibracja5
#
# Calculated curve
# x(cm)  y(cm)  z(cm)  Dose[eV/g]
#------------------------------------------------
   0.00E+000     0.00E+000    -5.00E-002    2.5656E-001
   0.00E+000     0.00E+000     5.00E-002    2.5656E-001
   0.00E+000     0.00E+000     1.50E-001    3.4352E-001
   0.00E+000     0.00E+000     2.50E-001    4.3048E-001
   0.00E+000     0.00E+000     3.50E-001    4.7361E-001
   0.00E+000     0.00E+000     4.50E-001    5.1673E-001
   0.00E+000     0.00E+000     5.50E-001    5.4203E-001
   0.00E+000     0.00E+000     6.50E-001    5.6733E-001
   0.00E+000     0.00E+000     7.50E-001    5.7876E-001
   0.00E+000     0.00E+000     8.50E-001    5.9018E-001
   0.00E+000     0.00E+000     9.50E-001    5.9860E-001
   0.00E+000     0.00E+000     1.05E+000    6.0701E-001
   0.00E+000     0.00E+000     1.15E+000    6.0981E-001
   0.00E+000     0.00E+000     1.25E+000    6.1260E-001
   0.00E+000     0.00E+000     1.35E+000    6.1246E-001
   0.00E+000     0.00E+000     1.45E+000    6.1231E-001
   0.00E+000     0.00E+000     1.55E+000    6.1071E-001
   0.00E+000     0.00E+000     1.65E+000    6.0911E-001
   0.00E+000     0.00E+000     1.75E+000    6.0674E-001
   0.00E+000     0.00E+000     1.85E+000    6.0437E-001
   0.00E+000     0.00E+000     1.95E+000    6.0327E-001
   0.00E+000     0.00E+000     2.05E+000    6.0217E-001
   0.00E+000     0.00E+000     2.15E+000    5.9856E-001
   0.00E+000     0.00E+000     2.25E+000    5.9495E-001
   0.00E+000     0.00E+000     2.35E+000    5.9123E-001
   0.00E+000     0.00E+000     2.45E+000    5.8750E-001
   0.00E+000     0.00E+000     2.55E+000    5.8635E-001
   0.00E+000     0.00E+000     2.65E+000    5.8520E-001
   0.00E+000     0.00E+000     2.75E+000    5.8190E-001
   0.00E+000     0.00E+000     2.85E+000    5.7861E-001
   0.00E+000     0.00E+000     2.95E+000    5.7654E-001
   0.00E+000     0.00E+000     3.05E+000    5.7447E-001
   0.00E+000     0.00E+000     3.15E+000    5.7088E-001
   0.00E+000     0.00E+000     3.25E+000    5.6730E-001
   0.00E+000     0.00E+000     3.35E+000    5.6257E-001
   0.00E+000     0.00E+000     3.45E+000    5.5783E-001
   0.00E+000     0.00E+000     3.55E+000    5.5583E-001
   0.00E+000     0.00E+000     3.65E+000    5.5382E-001
   0.00E+000     0.00E+000     3.75E+000    5.5036E-001
   0.00E+000     0.00E+000     3.85E+000    5.4690E-001
   0.00E+000     0.00E+000     3.95E+000    5.4418E-001
   0.00E+000     0.00E+000     4.05E+000    5.4146E-001
   0.00E+000     0.00E+000     4.15E+000    5.3772E-001
   0.00E+000     0.00E+000     4.25E+000    5.3397E-001
   0.00E+000     0.00E+000     4.35E+000    5.3179E-001
   0.00E+000     0.00E+000     4.45E+000    5.2961E-001
   0.00E+000     0.00E+000     4.55E+000    5.2740E-001
   0.00E+000     0.00E+000     4.65E+000    5.2519E-001
   0.00E+000     0.00E+000     4.75E+000    5.2235E-001
   0.00E+000     0.00E+000     4.85E+000    5.1951E-001
   0.00E+000     0.00E+000     4.95E+000    5.1612E-001
   0.00E+000     0.00E+000     5.05E+000    5.1273E-001
   0.00E+000     0.00E+000     5.15E+000    5.0922E-001
   0.00E+000     0.00E+000     5.25E+000    5.0571E-001
   0.00E+000     0.00E+000     5.35E+000    5.0326E-001
   0.00E+000     0.00E+000     5.45E+000    5.0081E-001
   0.00E+000     0.00E+000     5.55E+000    4.9804E-001
   0.00E+000     0.00E+000     5.65E+000    4.9527E-001
   0.00E+000     0.00E+000     5.75E+000    4.9162E-001
   0.00E+000     0.00E+000     5.85E+000    4.8797E-001
   0.00E+000     0.00E+000     5.95E+000    4.8527E-001
   0.00E+000     0.00E+000     6.05E+000    4.8256E-001
   0.00E+000     0.00E+000     6.15E+000    4.7832E-001
   0.00E+000     0.00E+000     6.25E+000    4.7409E-001
   0.00E+000     0.00E+000     6.35E+000    4.7347E-001
   0.00E+000     0.00E+000     6.45E+000    4.7285E-001
   0.00E+000     0.00E+000     6.55E+000    4.6954E-001
   0.00E+000     0.00E+000     6.65E+000    4.6623E-001
   0.00E+000     0.00E+000     6.75E+000    4.6334E-001
   0.00E+000     0.00E+000     6.85E+000    4.6045E-001
   0.00E+000     0.00E+000     6.95E+000    4.5782E-001
   0.00E+000     0.00E+000     7.05E+000    4.5518E-001
   0.00E+000     0.00E+000     7.15E+000    4.5237E-001
   0.00E+000     0.00E+000     7.25E+000    4.4957E-001
   0.00E+000     0.00E+000     7.35E+000    4.4724E-001
   0.00E+000     0.00E+000     7.45E+000    4.4492E-001
   0.00E+000     0.00E+000     7.55E+000    4.4282E-001
   0.00E+000     0.00E+000     7.65E+000    4.4073E-001
   0.00E+000     0.00E+000     7.75E+000    4.3696E-001
   0.00E+000     0.00E+000     7.85E+000    4.3319E-001
   0.00E+000     0.00E+000     7.95E+000    4.3232E-001
   0.00E+000     0.00E+000     8.05E+000    4.3145E-001
   0.00E+000     0.00E+000     8.15E+000    4.2901E-001
   0.00E+000     0.00E+000     8.25E+000    4.2657E-001
   0.00E+000     0.00E+000     8.35E+000    4.2297E-001
   0.00E+000     0.00E+000     8.45E+000    4.1937E-001
   0.00E+000     0.00E+000     8.55E+000    4.1650E-001
   0.00E+000     0.00E+000     8.65E+000    4.1364E-001
   0.00E+000     0.00E+000     8.75E+000    4.1165E-001
   0.00E+000     0.00E+000     8.85E+000    4.0967E-001
   0.00E+000     0.00E+000     8.95E+000    4.0703E-001
   0.00E+000     0.00E+000     9.05E+000    4.0439E-001
   0.00E+000     0.00E+000     9.15E+000    4.0136E-001
   0.00E+000     0.00E+000     9.25E+000    3.9834E-001
   0.00E+000     0.00E+000     9.35E+000    3.9527E-001
   0.00E+000     0.00E+000     9.45E+000    3.9221E-001
   0.00E+000     0.00E+000     9.55E+000    3.8951E-001
   0.00E+000     0.00E+000     9.65E+000    3.8682E-001
   0.00E+000     0.00E+000     9.75E+000    3.8578E-001
   0.00E+000     0.00E+000     9.85E+000    3.8475E-001
   0.00E+000     0.00E+000     9.95E+000    3.8164E-001
