# Rotation: 0.0
# Particles: 1000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-45,45,-30,30
# MLC: Y1[mm],Y2[mm]
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
-12.4,6.6
-31.95,31.5
-32.99,32.53
-32.71,32.65
-33.35,32.9
-35.35,32.94
-36.02,33.27
-34.81,33.61
-35.95,34.15
-36.2,34.49
-36.28,33.95
-36.75,33.95
-36.62,34.52
-35.37,35.75
-34.65,37.38
-34.84,37.82
-35.29,38.28
-35.57,39.12
-35.05,39.35
-34.25,39.05
-22.2,28
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.3
