# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,58,-43,43
# MLC: Y1[mm],Y2[mm]
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
29.7,51.3
22.6,54.9
16.9,57.7
13.9,58.6
11.6,60.2
11.9,62.3
9.6,65.9
8,67.7
6.2,70.3
5.6,74
5.8,78.4
6.2,79.1
8.8,80
13.3,79.5
29,74.4
40,55.3
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
-15.8,-15.8
