# Rotation:0.0
# Particles:1e3
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-30.0,30.0,-1.25,1.25
# MLC: Y1[mm],Y2[mm]
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-5.5,3.0
-8.0,3.0
-5.5,8.0
-3.0,10.0
-3.0,11.0
-3.0,13.0
-2.0,13.5
-2.0,14.0
-3.0,13.5
-3.0,13.0
-4.0,13.0
-7.0,12.0
-14.0,12.0
-19.0,10.0
-19.5,8.0
-17.0,6.0
-12.0,3.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
