# Rotation:0.0
# Particles:1e3
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-30.0,30.0,-1.25,1.25
# MLC: Y1[mm],Y2[mm]
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-7.5,7.5
-7.5,7.5
-7.5,7.5
-7.5,7.5
-7.5,7.5
-20.0,20.0
-20.0,20.0
-20.0,20.0
-20.0,20.0
-20.0,20.0
-20.0,20.0
-7.5,7.5
-7.5,7.5
-7.5,7.5
-7.5,7.5
-7.5,7.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
