# Rotation:0.0
# Particles:1e3
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-30.0,30.0,-1.25,1.25
# MLC: Y1[mm],Y2[mm]
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-4.0,5.0
-8.0,10.0
-12.0,15.0
-14.0,18.0
-16.0,25.0
-19.0,23.0
-21.0,20.0
-22.0,18.0
-22.0,18.0
-21.0,20.0
-19.0,25.0
-16.0,23.0
-14.0,18.0
-12.0,15.0
-8.0,10.0
-4.0,5.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
