# Rotation: 0.0
# Particles: 1000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,53,-43,43
# MLC: Y1[mm],Y2[mm]
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-2.2,11.7
-7.2,5.8
-9.7,1.4
-12.2,-1.2
-14.7,-2.9
-14.7,-3.2
-17.2,-5.4
-19.7,-5.9
-19.7,-6.9
-19.7,-5.6
-19.7,-5.1
-19.7,-0.9
-17.2,-0.3
-14.7,3.9
-7.2,11
0.3,18.9
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
-33.7,-33.7
