#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
Phantom v18|SideAssembly v13:1;                                                 50.9356982041;36.4823994277;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:1;                         35.6235731815;48.6941443429;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:1|BrickBottom v4:1;        37.6057470895;62.726185897;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:1|D3DF_SC_Cell v6:1;       35.6;62.65;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:1|BrickTop v4:1;           33.2930670789;62.6511759313;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:1|Fiber v4:1;              35.5999999999;-42.35;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:1|FiberSleeve v4:1;        35.6;-42.35;59.4499999999
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:2;                         51.0235731815;48.6941443429;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:2|BrickBottom v4:1;        53.0057470895;62.726185897;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:2|D3DF_SC_Cell v6:1;       51.0;62.65;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:2|BrickTop v4:1;           48.6930670789;62.6511759313;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:2|Fiber v4:1;              50.9999999999;-42.35;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:2|FiberSleeve v4:1;        51.0;-42.35;59.4499999999
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:3;                         66.4235731815;48.6941443429;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:3|BrickBottom v4:1;        68.4057470895;62.726185897;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:3|D3DF_SC_Cell v6:1;       66.4;62.65;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:3|BrickTop v4:1;           64.0930670789;62.6511759313;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:3|Fiber v4:1;              66.3999999999;-42.35;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:3|FiberSleeve v4:1;        66.4;-42.35;59.4499999999
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:4;                         43.3235731815;33.9941443429;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:4|BrickBottom v4:1;        45.3057470895;48.026185897;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:4|D3DF_SC_Cell v6:1;       43.3;47.95;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:4|BrickTop v4:1;           40.9930670789;47.9511759313;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:4|Fiber v4:1;              43.2999999999;-57.05;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:4|FiberSleeve v4:1;        43.3;-57.05;59.4499999999
Phantom v18|SideAssembly v13:1|PLA_holders:1;                                   50.9;33.9102005051;59.45
Phantom v18|SideAssembly v13:1|PLA_holders:1|holder5x1_layer1 v4:1;             50.9;62.4859175184;59.45
Phantom v18|SideAssembly v13:1|PLA_holders:1|holder5x1_layer2 v4:1;             50.9;47.8725272665;59.45
Phantom v18|SideAssembly v13:1|PLA_holders:1|tunel_mini1 v5:1;                  50.9;25.3;63.8496986706
Phantom v18|SideAssembly v13:1|PLA_holders:1|tunel_mini2 v5:1;                  50.9;25.3;54.225
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:5;                         58.7235731815;33.9941443429;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:5|BrickBottom v4:1;        60.7057470895;48.026185897;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:5|D3DF_SC_Cell v6:1;       58.7;47.95;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:5|BrickTop v4:1;           56.3930670789;47.9511759313;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:5|Fiber v4:1;              58.6999999999;-57.05;59.45
Phantom v18|SideAssembly v13:1|ScintillatorBrick v10:5|FiberSleeve v4:1;        58.7;-57.05;59.4499999999
Phantom v18|Assembly v13:1;                                                     147.043557225;88.815954582;80.4363005912
Phantom v18|Assembly v13:1|ScintillatorBrick v10:1;                             135.6235731815;148.6941443429;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:1|BrickBottom v4:1;            137.6057470895;162.726185897;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:1|D3DF_SC_Cell v6:1;           135.6;162.65;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:1|BrickTop v4:1;               133.2930670789;162.6511759313;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:1|Fiber v4:1;                  135.5999999999;57.65;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:1|FiberSleeve v4:1;            135.6;57.65;59.2999999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:2;                             135.6235731815;148.6941443429;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:2|BrickBottom v4:1;            137.6057470895;162.726185897;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:2|D3DF_SC_Cell v6:1;           135.6;162.65;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:2|BrickTop v4:1;               133.2930670789;162.6511759313;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:2|Fiber v4:1;                  135.5999999999;57.65;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:2|FiberSleeve v4:1;            135.6;57.65;76.1999999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:3;                             135.6235731815;148.6941443429;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:3|BrickBottom v4:1;            137.6057470895;162.726185897;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:3|D3DF_SC_Cell v6:1;           135.6;162.65;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:3|BrickTop v4:1;               133.2930670789;162.6511759313;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:3|Fiber v4:1;                  135.5999999999;57.65;93.1
