#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
WaterPhantom v8|WaterBlockLarge v5:1;                                           134.4;125.0;241.0196690169
WaterPhantom v8|WaterBlockLarge v5:2;                                           407.6;125.0;241.0196690169
WaterPhantom v8|WaterBlockSmall v3:1;                                           123.5;275.0;244.5315397122
WaterPhantom v8|WaterBlockSmall v3:2;                                           418.5;275.0;244.5315397122
WaterPhantom v8|WaterBlockLarge v5:3;                                           134.4;425.0;241.0196690169
WaterPhantom v8|WaterBlockLarge v5:4;                                           407.6;425.0;241.0196690169
WaterPhantom v8|Tower v5:1;                                                     270.9897980707;274.9954816552;219.1375670259
WaterPhantom v8|Tower v5:1|tower_base_aquarium_BOTTOM_ver_2 v2:1;               271.0;275.0;5.0695121951
WaterPhantom v8|Tower v5:1|tower_base_aquarium_BOTTOM_ver_2 v2:1|Body045:1;     271.0;275.0;5.0695121951
WaterPhantom v8|Tower v5:1|Tower_bottom_aquarium_ver_2 v2:1;                    264.2326346081;274.9999999999;112.9122229693
WaterPhantom v8|Tower v5:1|Tower_bottom_aquarium_ver_2 v2:1|Body042:1;          264.2326346081;274.9999999999;112.9122229693
WaterPhantom v8|Tower v5:1|tower_base_aquarium_TOP_ver_2 v2:1;                  271.0;274.9999999999;432.9221204188
WaterPhantom v8|Tower v5:1|tower_base_aquarium_TOP_ver_2 v2:1|Body044:1;        271.0;274.9999999999;432.9221204188
WaterPhantom v8|Tower v5:1|Tower_top_aquarium_ver_2 v2:1;                       280.8125034235;275.0000012223;113.0633698749
WaterPhantom v8|Tower v5:1|Tower_top_aquarium_ver_2 v2:1|Body043:1;             280.8125034235;275.0000012223;113.0633698749
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:1;                              271.0;307.7341592196;13.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:1|D3DF_SC_Cell v6:1;            271.0;283.6749999999;13.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:1|Fiber v2:1;                   271.0;423.6749999999;13.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:1|FiberSleeve v2:1;             271.0000000001;423.6749999999;13.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:1|Bottom_ver4 v3:1;             271.0;283.6749999999;12.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:1|Top_ver4 v2:1;                271.0;283.675;16.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:2;                              271.0;242.2658407802;13.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:2|D3DF_SC_Cell v6:1;            271.0;266.3249999999;13.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:2|Fiber v2:1;                   271.0;126.3249999999;13.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:2|FiberSleeve v2:1;             270.9999999999;126.3249999999;13.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:2|Bottom_ver4 v3:1;             271.0;266.3249999999;12.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:2|Top_ver4 v2:1;                271.0;266.3249999999;16.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:3;                              271.0;307.7341592196;27.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:3|D3DF_SC_Cell v6:1;            271.0;283.6749999999;26.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:3|Fiber v2:1;                   271.0;423.6749999999;26.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:3|FiberSleeve v2:1;             271.0000000001;423.6749999999;26.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:3|Bottom_ver4 v3:1;             271.0;283.6749999999;25.31992238
